Action,Name,Points,GameMode,Timestamp
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:09:41.239
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:14:51.161
RefactorAddXAssertionsAchievement,Double check,4,ACHIEVEMENTS,2025-04-17 09:16:03.855
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:18:17.259
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:18:17.267
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:18:17.279
TriggerXAssertsByTestsAchievement,Assert and Tested,3,ACHIEVEMENTS,2025-04-17 09:18:54.149
RefactorAddXAssertionsAchievement,Double check,3,ACHIEVEMENTS,2025-04-17 09:19:51.367
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:19:51.373
TriggerXAssertsByTestsAchievement,Assert and Tested,3,ACHIEVEMENTS,2025-04-17 09:19:54.342
RefactorAddXAssertionsAchievement,Double check,6,ACHIEVEMENTS,2025-04-17 09:21:37.584
AddTestsAchievement,Safety First,2,ACHIEVEMENTS,2025-04-17 09:21:37.59
TriggerXAssertsByTestsAchievement,Assert and Tested,3,ACHIEVEMENTS,2025-04-17 09:21:41.857
TriggerXAssertsByTestsAchievement,Assert and Tested,3,ACHIEVEMENTS,2025-04-17 09:22:59.391
RefactorAddXAssertionsAchievement,Double check,4,ACHIEVEMENTS,2025-04-17 09:24:06.531
AddTestsAchievement,Safety First,2,ACHIEVEMENTS,2025-04-17 09:24:06.532
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:24:09.811
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:24:13.013
RefactorAddXAssertionsAchievement,Double check,4,ACHIEVEMENTS,2025-04-17 09:24:56.37
AddTestsAchievement,Safety First,2,ACHIEVEMENTS,2025-04-17 09:24:56.371
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:24:59.479
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:25:12.063
